Date,City,Station_ID,Year,Month,Day,Season,Max_Temp_F,Min_Temp_F,Avg_Temp_F,Max_Temp_C,Min_Temp_C,Avg_Temp_C,Precipitation_in,Precipitation_mm,Snowfall_in,Snowfall_cm,Snow_Depth_in,Avg_Wind_Speed_mph,Avg_Wind_Speed_kmh,Max_Wind_Speed_mph,Fog_Present,Condition
2020-01-21,Chicago,USW00094846,2020,1,21,Winter,29,15,22.0,-1.6666666666666667,-9.444444444444445,-5.555555555555555,0.0,0.0,0.0,0.0,2.0,7.61,12.2470774,17.0,,Freezing
2020-01-21,Los Angeles,USW00023174,2020,1,21,Winter,62,56,59.0,16.666666666666668,13.333333333333334,15.0,0.03,0.7619999999999999,0.0,0.0,0.0,8.28,13.3253352,16.1,,Clear
2020-01-21,New York,USW00094728,2020,1,21,Winter,33,20,26.5,0.5555555555555556,-6.666666666666667,-3.0555555555555554,0.0,0.0,0.0,0.0,0.0,4.25,6.839695,13.0,,Freezing
2020-01-22,Chicago,USW00094846,2020,1,22,Winter,34,24,29.0,1.1111111111111112,-4.444444444444445,-1.6666666666666667,0.0,0.0,0.0,0.0,2.0,12.3,19.794882,18.1,,Freezing
2020-01-22,Los Angeles,USW00023174,2020,1,22,Winter,64,51,57.5,17.77777777777778,10.555555555555555,14.166666666666666,0.0,0.0,0.0,0.0,0.0,4.25,6.839695,14.1,,Clear
2020-01-22,New York,USW00094728,2020,1,22,Winter,38,25,31.5,3.3333333333333335,-3.888888888888889,-0.2777777777777778,0.0,0.0,0.0,0.0,0.0,,,,,Freezing
2020-01-23,Chicago,USW00094846,2020,1,23,Winter,34,29,31.5,1.1111111111111112,-1.6666666666666667,-0.2777777777777778,0.17,4.3180000000000005,0.9,2.286,2.0,7.61,12.2470774,15.0,    1,Snowy
2020-01-23,Los Angeles,USW00023174,2020,1,23,Winter,69,51,60.0,20.555555555555557,10.555555555555555,15.555555555555555,0.0,0.0,0.0,0.0,0.0,5.14,8.2720076,15.0,,Clear
2020-01-23,New York,USW00094728,2020,1,23,Winter,47,33,40.0,8.333333333333334,0.5555555555555556,4.444444444444445,0.0,0.0,0.0,0.0,0.0,,,,,Clear
2020-01-24,Chicago,USW00094846,2020,1,24,Winter,37,32,34.5,2.7777777777777777,0.0,1.3888888888888888,0.4,10.16,0.0,0.0,1.2,4.7,7.563898,13.0,    1,Rainy
